ICD-10,Lab_Item,Original_ICD_Range
B658,Schistosoma antigen test if available,B651–B659
B659,Stool ova and parasite examination,B651–B659
B659,Schistosoma antibody,B651–B659
B659,Schistosoma antigen test if available,B651–B659
B660,Stool ova and parasite examination,B660–B669
B660,Fluke serology according to suspected species,B660–B669
B661,Stool ova and parasite examination,B660–B669
B661,Fluke serology according to suspected species,B660–B669
B662,Stool ova and parasite examination,B660–B669
B662,Fluke serology according to suspected species,B660–B669
B663,Stool ova and parasite examination,B660–B669
B663,Fluke serology according to suspected species,B660–B669
B664,Stool ova and parasite examination,B660–B669
B664,Fluke serology according to suspected species,B660–B669
B665,Stool ova and parasite examination,B660–B669
B665,Fluke serology according to suspected species,B660–B669
B668,Stool ova and parasite examination,B660–B669
B668,Fluke serology according to suspected species,B660–B669
B669,Stool ova and parasite examination,B660–B669
B669,Fluke serology according to suspected species,B660–B669
B664,Sputum/stool ova examination for Paragonimus,B664
B664,Paragonimus antibody,B664
B670,Echinococcus antibody,B670–B679
B670,Histopathology if tissue obtained,B670–B679
B671,Echinococcus antibody,B670–B679
B671,Histopathology if tissue obtained,B670–B679
B672,Echinococcus antibody,B670–B679
B672,Histopathology if tissue obtained,B670–B679
B673,Echinococcus antibody,B670–B679
B673,Histopathology if tissue obtained,B670–B679
B674,Echinococcus antibody,B670–B679
B674,Histopathology if tissue obtained,B670–B679
B675,Echinococcus antibody,B670–B679
B675,Histopathology if tissue obtained,B670–B679
B676,Echinococcus antibody,B670–B679
B676,Histopathology if tissue obtained,B670–B679
B677,Echinococcus antibody,B670–B679
B677,Histopathology if tissue obtained,B670–B679
B678,Echinococcus antibody,B670–B679
B678,Histopathology if tissue obtained,B670–B679
B679,Echinococcus antibody,B670–B679
B679,Histopathology if tissue obtained,B670–B679
B680,Stool ova and parasite examination,B680–B689
B680,Taenia species identification,B680–B689
B681,Stool ova and parasite examination,B680–B689
B681,Taenia species identification,B680–B689
B689,Stool ova and parasite examination,B680–B689
B689,Taenia species identification,B680–B689
B690,Cysticercosis antibody,B690–B699
B690,Histopathology if tissue obtained,B690–B699
B691,Cysticercosis antibody,B690–B699
B691,Histopathology if tissue obtained,B690–B699
B698,Cysticercosis antibody,B690–B699
B698,Histopathology if tissue obtained,B690–B699
B699,Cysticercosis antibody,B690–B699
B699,Histopathology if tissue obtained,B690–B699
B700,Stool ova and parasite examination,B700–B719
B700,Cestode species identification,B700–B719
B701,Stool ova and parasite examination,B700–B719
B701,Cestode species identification,B700–B719
B710,Stool ova and parasite examination,B700–B719
B710,Cestode species identification,B700–B719
B711,Stool ova and parasite examination,B700–B719
B711,Cestode species identification,B700–B719
B718,Stool ova and parasite examination,B700–B719
B718,Cestode species identification,B700–B719
B719,Stool ova and parasite examination,B700–B719
B719,Cestode species identification,B700–B719
B72,Worm identification,B72
B73,Skin snip microscopy for microfilariae,B73
B73,Onchocerca antibody if available,B73
B740,Thick blood smear for microfilariae,B740–B749
B740,Filarial antigen test,B740–B749
B740,Filarial antibody/NAAT if available,B740–B749
B741,Thick blood smear for microfilariae,B740–B749
B741,Filarial antigen test,B740–B749
B741,Filarial antibody/NAAT if available,B740–B749
B742,Thick blood smear for microfilariae,B740–B749
B742,Filarial antigen test,B740–B749
B742,Filarial antibody/NAAT if available,B740–B749
B743,Thick blood smear for microfilariae,B740–B749
B743,Filarial antigen test,B740–B749
B743,Filarial antibody/NAAT if available,B740–B749
B744,Thick blood smear for microfilariae,B740–B749
B744,Filarial antigen test,B740–B749
B744,Filarial antibody/NAAT if available,B740–B749
B748,Thick blood smear for microfilariae,B740–B749
B748,Filarial antigen test,B740–B749
B748,Filarial antibody/NAAT if available,B740–B749
B749,Thick blood smear for microfilariae,B740–B749
B749,Filarial antigen test,B740–B749
B749,Filarial antibody/NAAT if available,B740–B749
B743,Blood smear for Loa loa microfilariae,B743
B75,Trichinella antibody,B75
B75,Creatine kinase,B75
B75,Eosinophil count,B75
B760,Stool ova and parasite examination,B760–B769
B760,Hookworm egg identification,B760–B769
B761,Stool ova and parasite examination,B760–B769
B761,Hookworm egg identification,B760–B769
B768,Stool ova and parasite examination,B760–B769
B768,Hookworm egg identification,B760–B769
B769,Stool ova and parasite examination,B760–B769
B769,Hookworm egg identification,B760–B769
B770,Stool ova and parasite examination,B770–B779
B770,Ascaris egg/worm identification,B770–B779
B778,Stool ova and parasite examination,B770–B779
B778,Ascaris egg/worm identification,B770–B779
B779,Stool ova and parasite examination,B770–B779
B779,Ascaris egg/worm identification,B770–B779
B780,Strongyloides stercoralis larvae detection,B780–B789
B780,Strongyloides antibody,B780–B789
B780,Stool O&P,B780–B789
B781,Strongyloides stercoralis larvae detection,B780–B789
B781,Strongyloides antibody,B780–B789
B781,Stool O&P,B780–B789
B787,Strongyloides stercoralis larvae detection,B780–B789
B787,Strongyloides antibody,B780–B789
B787,Stool O&P,B780–B789
B789,Strongyloides stercoralis larvae detection,B780–B789
B789,Strongyloides antibody,B780–B789
B789,Stool O&P,B780–B789
B79,Stool ova and parasite examination,B79
B79,Trichuris egg identification,B79
B80,Perianal tape test,B80
B80,Enterobius vermicularis egg identification,B80
B810,Stool ova and parasite examination,B810–B829
B810,Parasite identification according to suspected species,B810–B829
B811,Stool ova and parasite examination,B810–B829
B811,Parasite identification according to suspected species,B810–B829
B812,Stool ova and parasite examination,B810–B829
B812,Parasite identification according to suspected species,B810–B829
B813,Stool ova and parasite examination,B810–B829
B813,Parasite identification according to suspected species,B810–B829
B814,Stool ova and parasite examination,B810–B829
B814,Parasite identification according to suspected species,B810–B829
B818,Stool ova and parasite examination,B810–B829
B818,Parasite identification according to suspected species,B810–B829
B820,Stool ova and parasite examination,B810–B829
B820,Parasite identification according to suspected species,B810–B829
B829,Stool ova and parasite examination,B810–B829
B829,Parasite identification according to suspected species,B810–B829
B830,Toxocara antibody,B830
B830,Eosinophil count,B830
B831,Gnathostoma antibody,B831
B831,Eosinophil count,B831
B832,Angiostrongylus antibody if available,B832
B832,CSF eosinophil count,B832
B833,Helminth microscopy/serology according to suspected organism,B833–B839
B834,Helminth microscopy/serology according to suspected organism,B833–B839
B838,Helminth microscopy/serology according to suspected organism,B833–B839
B839,Helminth microscopy/serology according to suspected organism,B833–B839
B850,Parasite/arthropod identification by microscopy,B850–B889
B851,Parasite/arthropod identification by microscopy,B850–B889
B852,Parasite/arthropod identification by microscopy,B850–B889
B853,Parasite/arthropod identification by microscopy,B850–B889
B854,Parasite/arthropod identification by microscopy,B850–B889
B86,Parasite/arthropod identification by microscopy,B850–B889
B870,Parasite/arthropod identification by microscopy,B850–B889
B871,Parasite/arthropod identification by microscopy,B850–B889
B872,Parasite/arthropod identification by microscopy,B850–B889
B873,Parasite/arthropod identification by microscopy,B850–B889
B874,Parasite/arthropod identification by microscopy,B850–B889
B878,Parasite/arthropod identification by microscopy,B850–B889
B879,Parasite/arthropod identification by microscopy,B850–B889
B880,Parasite/arthropod identification by microscopy,B850–B889
B881,Parasite/arthropod identification by microscopy,B850–B889
B882,Parasite/arthropod identification by microscopy,B850–B889
B883,Parasite/arthropod identification by microscopy,B850–B889
B888,Parasite/arthropod identification by microscopy,B850–B889
B889,Parasite/arthropod identification by microscopy,B850–B889
B89,Parasite identification,B89
B89,Stool ova and parasite examination if intestinal parasitic disease suspected,B89
B900,nan,B900–B949
B901,nan,B900–B949
B902,nan,B900–B949
B908,nan,B900–B949
B909,nan,B900–B949
B91,nan,B900–B949
B92,nan,B900–B949
B940,nan,B900–B949
B941,nan,B900–B949
B942,nan,B900–B949
B948,nan,B900–B949
B949,nan,B900–B949
B950,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B951,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B952,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B953,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B954,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B955,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B956,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B957,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B958,Bacterial culture and organism identification from relevant clinical specimen,B950–B958
B960,Mycoplasma pneumoniae DNA detection / serology from relevant specimen,B960
B961,Klebsiella pneumoniae culture from relevant clinical specimen,B961
B962,Escherichia coli culture from relevant clinical specimen,B962
B963,Haemophilus influenzae culture / antigen / DNA detection from relevant specimen,B963
B964,Proteus species culture from relevant clinical specimen,B964
B965,Pseudomonas aeruginosa culture from relevant clinical specimen,B965
B966,Bacteroides fragilis anaerobic culture from relevant clinical specimen,B966
B967,Clostridium perfringens anaerobic culture from relevant clinical specimen,B967
B968,Bacterial culture and organism identification from relevant clinical specimen,B968
B970,Adenovirus antigen / DNA detection from relevant specimen,B970
B971,Enterovirus RNA detection from relevant specimen,B971
B972,Coronavirus RNA detection from relevant specimen,B972
B973,Retrovirus antibody/NAAT from relevant specimen,B973
B974,Respiratory syncytial virus antigen / RNA detection from relevant specimen,B974
B975,Reovirus RNA detection from relevant specimen if available,B975
B976,Parvovirus B19 IgM antibody / DNA detection,B976
B977,HPV DNA detection from relevant specimen,B977
B978,Virus-specific antigen/antibody/NAAT from relevant specimen,B978
B980,Helicobacter pylori stool antigen,B980
B980,Urea breath test,B980
B980,Gastric biopsy rapid urease test,B980
B981,Vibrio vulnificus culture from blood/wound/relevant specimen,B981
B99,Culture/serology/antigen/NAAT according to suspected infectious disease,B99
C000,"Histopathology, tissue biopsy",C000–C069
C000,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C001,"Histopathology, tissue biopsy",C000–C069
C001,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C002,"Histopathology, tissue biopsy",C000–C069
C002,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C003,"Histopathology, tissue biopsy",C000–C069
C003,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C004,"Histopathology, tissue biopsy",C000–C069
C004,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C005,"Histopathology, tissue biopsy",C000–C069
C005,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C006,"Histopathology, tissue biopsy",C000–C069
C006,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C008,"Histopathology, tissue biopsy",C000–C069
C008,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C009,"Histopathology, tissue biopsy",C000–C069
C009,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C01,"Histopathology, tissue biopsy",C000–C069
C01,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C020,"Histopathology, tissue biopsy",C000–C069
C020,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C021,"Histopathology, tissue biopsy",C000–C069
C021,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C022,"Histopathology, tissue biopsy",C000–C069
C022,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C023,"Histopathology, tissue biopsy",C000–C069
C023,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C024,"Histopathology, tissue biopsy",C000–C069
C024,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C028,"Histopathology, tissue biopsy",C000–C069
C028,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C029,"Histopathology, tissue biopsy",C000–C069
C029,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C030,"Histopathology, tissue biopsy",C000–C069
C030,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C031,"Histopathology, tissue biopsy",C000–C069
C031,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C039,"Histopathology, tissue biopsy",C000–C069
C039,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C040,"Histopathology, tissue biopsy",C000–C069
C040,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C041,"Histopathology, tissue biopsy",C000–C069
C041,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C048,"Histopathology, tissue biopsy",C000–C069
C048,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C049,"Histopathology, tissue biopsy",C000–C069
C049,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C050,"Histopathology, tissue biopsy",C000–C069
C050,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C051,"Histopathology, tissue biopsy",C000–C069
C051,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C052,"Histopathology, tissue biopsy",C000–C069
C052,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C058,"Histopathology, tissue biopsy",C000–C069
C058,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C059,"Histopathology, tissue biopsy",C000–C069
C059,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C060,"Histopathology, tissue biopsy",C000–C069
C060,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C061,"Histopathology, tissue biopsy",C000–C069
C061,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C062,"Histopathology, tissue biopsy",C000–C069
C062,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C068,"Histopathology, tissue biopsy",C000–C069
C068,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C069,"Histopathology, tissue biopsy",C000–C069
C069,p16 immunohistochemistry if oropharyngeal HPV-related lesion suspected,C000–C069
C07,"Histopathology, salivary gland tissue biopsy",C07–C089
C07,Immunohistochemistry panel,C07–C089
C080,"Histopathology, salivary gland tissue biopsy",C07–C089
C080,Immunohistochemistry panel,C07–C089
C081,"Histopathology, salivary gland tissue biopsy",C07–C089
C081,Immunohistochemistry panel,C07–C089
C088,"Histopathology, salivary gland tissue biopsy",C07–C089
C088,Immunohistochemistry panel,C07–C089
C089,"Histopathology, salivary gland tissue biopsy",C07–C089
C089,Immunohistochemistry panel,C07–C089
C090,"Histopathology, tissue biopsy",C090–C109
C090,p16 immunohistochemistry,C090–C109
C090,HPV DNA/RNA detection,C090–C109
C091,"Histopathology, tissue biopsy",C090–C109
C091,p16 immunohistochemistry,C090–C109
C091,HPV DNA/RNA detection,C090–C109
C098,"Histopathology, tissue biopsy",C090–C109
C098,p16 immunohistochemistry,C090–C109
C098,HPV DNA/RNA detection,C090–C109
C099,"Histopathology, tissue biopsy",C090–C109
C099,p16 immunohistochemistry,C090–C109
C099,HPV DNA/RNA detection,C090–C109
C100,"Histopathology, tissue biopsy",C090–C109
C100,p16 immunohistochemistry,C090–C109
C100,HPV DNA/RNA detection,C090–C109
C101,"Histopathology, tissue biopsy",C090–C109
C101,p16 immunohistochemistry,C090–C109
C101,HPV DNA/RNA detection,C090–C109
C102,"Histopathology, tissue biopsy",C090–C109
C102,p16 immunohistochemistry,C090–C109
C102,HPV DNA/RNA detection,C090–C109
C103,"Histopathology, tissue biopsy",C090–C109
C103,p16 immunohistochemistry,C090–C109
C103,HPV DNA/RNA detection,C090–C109
C104,"Histopathology, tissue biopsy",C090–C109
C104,p16 immunohistochemistry,C090–C109
C104,HPV DNA/RNA detection,C090–C109
C108,"Histopathology, tissue biopsy",C090–C109
C108,p16 immunohistochemistry,C090–C109
C108,HPV DNA/RNA detection,C090–C109
C109,"Histopathology, tissue biopsy",C090–C109
C109,p16 immunohistochemistry,C090–C109
C109,HPV DNA/RNA detection,C090–C109
C110,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C110,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C110,EBV DNA quantitative,C110–C119
C111,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C111,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C111,EBV DNA quantitative,C110–C119
C112,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C112,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C112,EBV DNA quantitative,C110–C119
C113,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C113,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C113,EBV DNA quantitative,C110–C119
C118,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C118,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C118,EBV DNA quantitative,C110–C119
C119,"Histopathology, nasopharyngeal tissue biopsy",C110–C119
C119,Epstein-Barr virus encoded RNA in situ hybridization,C110–C119
C119,EBV DNA quantitative,C110–C119
C12,"Histopathology, tissue biopsy",C12–C148
C12,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C130,"Histopathology, tissue biopsy",C12–C148
C130,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C131,"Histopathology, tissue biopsy",C12–C148
C131,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C132,"Histopathology, tissue biopsy",C12–C148
C132,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C138,"Histopathology, tissue biopsy",C12–C148
C138,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C139,"Histopathology, tissue biopsy",C12–C148
C139,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C140,"Histopathology, tissue biopsy",C12–C148
C140,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C142,"Histopathology, tissue biopsy",C12–C148
C142,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C148,"Histopathology, tissue biopsy",C12–C148
C148,p16 immunohistochemistry if HPV-related lesion suspected,C12–C148
C150,"Histopathology, esophageal biopsy",C150–C159
C150,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C151,"Histopathology, esophageal biopsy",C150–C159
C151,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C152,"Histopathology, esophageal biopsy",C150–C159
C152,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C153,"Histopathology, esophageal biopsy",C150–C159
C153,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C154,"Histopathology, esophageal biopsy",C150–C159
C154,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C155,"Histopathology, esophageal biopsy",C150–C159
C155,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C158,"Histopathology, esophageal biopsy",C150–C159
C158,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C159,"Histopathology, esophageal biopsy",C150–C159
C159,HER2 immunohistochemistry if adenocarcinoma,C150–C159
C160,"Histopathology, gastric biopsy",C160–C169
C160,HER2 immunohistochemistry,C160–C169
C160,Mismatch repair protein immunohistochemistry,C160–C169
C160,Helicobacter pylori test,C160–C169
C161,"Histopathology, gastric biopsy",C160–C169
C161,HER2 immunohistochemistry,C160–C169
C161,Mismatch repair protein immunohistochemistry,C160–C169
C161,Helicobacter pylori test,C160–C169
C162,"Histopathology, gastric biopsy",C160–C169
C162,HER2 immunohistochemistry,C160–C169
C162,Mismatch repair protein immunohistochemistry,C160–C169
C162,Helicobacter pylori test,C160–C169
C163,"Histopathology, gastric biopsy",C160–C169
C163,HER2 immunohistochemistry,C160–C169
C163,Mismatch repair protein immunohistochemistry,C160–C169
C163,Helicobacter pylori test,C160–C169
C164,"Histopathology, gastric biopsy",C160–C169
C164,HER2 immunohistochemistry,C160–C169
C164,Mismatch repair protein immunohistochemistry,C160–C169
C164,Helicobacter pylori test,C160–C169
C165,"Histopathology, gastric biopsy",C160–C169
C165,HER2 immunohistochemistry,C160–C169
C165,Mismatch repair protein immunohistochemistry,C160–C169
C165,Helicobacter pylori test,C160–C169
C166,"Histopathology, gastric biopsy",C160–C169
C166,HER2 immunohistochemistry,C160–C169
C166,Mismatch repair protein immunohistochemistry,C160–C169
C166,Helicobacter pylori test,C160–C169
C168,"Histopathology, gastric biopsy",C160–C169
C168,HER2 immunohistochemistry,C160–C169
C168,Mismatch repair protein immunohistochemistry,C160–C169
C168,Helicobacter pylori test,C160–C169
C169,"Histopathology, gastric biopsy",C160–C169
C169,HER2 immunohistochemistry,C160–C169
C169,Mismatch repair protein immunohistochemistry,C160–C169
C169,Helicobacter pylori test,C160–C169
C170,"Histopathology, small intestinal biopsy",C170–C179
C171,"Histopathology, small intestinal biopsy",C170–C179
C172,"Histopathology, small intestinal biopsy",C170–C179
C173,"Histopathology, small intestinal biopsy",C170–C179
C178,"Histopathology, small intestinal biopsy",C170–C179
C179,"Histopathology, small intestinal biopsy",C170–C179
C180,"Histopathology, colorectal biopsy",C180–C20
C180,Mismatch repair protein immunohistochemistry,C180–C20
C180,KRAS mutation,C180–C20
C180,NRAS mutation,C180–C20
C180,BRAF mutation,C180–C20
C180,CEA,C180–C20
C181,"Histopathology, colorectal biopsy",C180–C20
C181,Mismatch repair protein immunohistochemistry,C180–C20
C181,KRAS mutation,C180–C20
C181,NRAS mutation,C180–C20
C181,BRAF mutation,C180–C20
C181,CEA,C180–C20
C182,"Histopathology, colorectal biopsy",C180–C20
C182,Mismatch repair protein immunohistochemistry,C180–C20
C182,KRAS mutation,C180–C20
C182,NRAS mutation,C180–C20
C182,BRAF mutation,C180–C20
C182,CEA,C180–C20
C183,"Histopathology, colorectal biopsy",C180–C20
C183,Mismatch repair protein immunohistochemistry,C180–C20
C183,KRAS mutation,C180–C20
C183,NRAS mutation,C180–C20
C183,BRAF mutation,C180–C20
C183,CEA,C180–C20
C184,"Histopathology, colorectal biopsy",C180–C20
C184,Mismatch repair protein immunohistochemistry,C180–C20
C184,KRAS mutation,C180–C20
C184,NRAS mutation,C180–C20
C184,BRAF mutation,C180–C20
C184,CEA,C180–C20
C185,"Histopathology, colorectal biopsy",C180–C20
C185,Mismatch repair protein immunohistochemistry,C180–C20
C185,KRAS mutation,C180–C20
C185,NRAS mutation,C180–C20
C185,BRAF mutation,C180–C20
C185,CEA,C180–C20
C186,"Histopathology, colorectal biopsy",C180–C20
C186,Mismatch repair protein immunohistochemistry,C180–C20
C186,KRAS mutation,C180–C20
C186,NRAS mutation,C180–C20
C186,BRAF mutation,C180–C20
C186,CEA,C180–C20
C187,"Histopathology, colorectal biopsy",C180–C20
C187,Mismatch repair protein immunohistochemistry,C180–C20
C187,KRAS mutation,C180–C20
C187,NRAS mutation,C180–C20
C187,BRAF mutation,C180–C20
C187,CEA,C180–C20
C188,"Histopathology, colorectal biopsy",C180–C20
C188,Mismatch repair protein immunohistochemistry,C180–C20
C188,KRAS mutation,C180–C20
C188,NRAS mutation,C180–C20
C188,BRAF mutation,C180–C20
C188,CEA,C180–C20
C189,"Histopathology, colorectal biopsy",C180–C20
C189,Mismatch repair protein immunohistochemistry,C180–C20
C189,KRAS mutation,C180–C20
C189,NRAS mutation,C180–C20
C189,BRAF mutation,C180–C20
C189,CEA,C180–C20
C19,"Histopathology, colorectal biopsy",C180–C20
C19,Mismatch repair protein immunohistochemistry,C180–C20
C19,KRAS mutation,C180–C20
C19,NRAS mutation,C180–C20
C19,BRAF mutation,C180–C20
C19,CEA,C180–C20
C20,"Histopathology, colorectal biopsy",C180–C20
C20,Mismatch repair protein immunohistochemistry,C180–C20
C20,KRAS mutation,C180–C20
C20,NRAS mutation,C180–C20
C20,BRAF mutation,C180–C20
C20,CEA,C180–C20
C210,"Histopathology, anal biopsy",C210–C218
C210,p16 immunohistochemistry,C210–C218
C210,HPV DNA/RNA detection,C210–C218
C211,"Histopathology, anal biopsy",C210–C218
C211,p16 immunohistochemistry,C210–C218
C211,HPV DNA/RNA detection,C210–C218
C212,"Histopathology, anal biopsy",C210–C218
C212,p16 immunohistochemistry,C210–C218
C212,HPV DNA/RNA detection,C210–C218
C218,"Histopathology, anal biopsy",C210–C218
C218,p16 immunohistochemistry,C210–C218
C218,HPV DNA/RNA detection,C210–C218
C220,"Histopathology, liver biopsy",C220
C220,Alpha-fetoprotein,C220
C221,"Histopathology, bile duct tissue biopsy",C221
C221,CA 19-9,C221
C222,"Histopathology, liver biopsy",C222
C222,Alpha-fetoprotein,C222
C223,"Histopathology, liver tissue biopsy",C223–C229
C224,"Histopathology, liver tissue biopsy",C223–C229
C227,"Histopathology, liver tissue biopsy",C223–C229
C229,"Histopathology, liver tissue biopsy",C223–C229
C23,"Histopathology, biliary tract tissue biopsy",C23–C249
C23,CA 19-9,C23–C249
C240,"Histopathology, biliary tract tissue biopsy",C23–C249
C240,CA 19-9,C23–C249
C241,"Histopathology, biliary tract tissue biopsy",C23–C249
C241,CA 19-9,C23–C249
C248,"Histopathology, biliary tract tissue biopsy",C23–C249
C248,CA 19-9,C23–C249
C249,"Histopathology, biliary tract tissue biopsy",C23–C249
C249,CA 19-9,C23–C249
C250,"Histopathology, pancreatic tissue biopsy",C250–C259
C250,CA 19-9,C250–C259
C251,"Histopathology, pancreatic tissue biopsy",C250–C259
C251,CA 19-9,C250–C259
C252,"Histopathology, pancreatic tissue biopsy",C250–C259
C252,CA 19-9,C250–C259
C253,"Histopathology, pancreatic tissue biopsy",C250–C259
C253,CA 19-9,C250–C259
C254,"Histopathology, pancreatic tissue biopsy",C250–C259
C254,CA 19-9,C250–C259
C257,"Histopathology, pancreatic tissue biopsy",C250–C259
C257,CA 19-9,C250–C259
C258,"Histopathology, pancreatic tissue biopsy",C250–C259
C258,CA 19-9,C250–C259
C259,"Histopathology, pancreatic tissue biopsy",C250–C259
C259,CA 19-9,C250–C259
C254,Chromogranin A,C254
C254,Synaptophysin immunohistochemistry,C254
C254,Insulin,C254
C254,Gastrin,C254
C254,Glucagon,C254
C254,VIP,C254
C260,"Histopathology, tissue biopsy",C260–C269
C261,"Histopathology, tissue biopsy",C260–C269
C268,"Histopathology, tissue biopsy",C260–C269
C269,"Histopathology, tissue biopsy",C260–C269
C300,"Histopathology, tissue biopsy",C300–C329
C300,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C301,"Histopathology, tissue biopsy",C300–C329
C301,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C310,"Histopathology, tissue biopsy",C300–C329
C310,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C311,"Histopathology, tissue biopsy",C300–C329
C311,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C312,"Histopathology, tissue biopsy",C300–C329
C312,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C313,"Histopathology, tissue biopsy",C300–C329
C313,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C318,"Histopathology, tissue biopsy",C300–C329
C318,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C319,"Histopathology, tissue biopsy",C300–C329
C319,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C320,"Histopathology, tissue biopsy",C300–C329
C320,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C321,"Histopathology, tissue biopsy",C300–C329
C321,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C322,"Histopathology, tissue biopsy",C300–C329
C322,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C323,"Histopathology, tissue biopsy",C300–C329
C323,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C328,"Histopathology, tissue biopsy",C300–C329
C328,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C329,"Histopathology, tissue biopsy",C300–C329
C329,p16 immunohistochemistry if HPV-related lesion suspected,C300–C329
C33,"Histopathology, lung/bronchial biopsy",C33–C349
C33,"Cytology, respiratory specimen",C33–C349
C33,EGFR mutation,C33–C349
C33,ALK rearrangement,C33–C349
C33,ROS1 rearrangement,C33–C349
C33,BRAF mutation,C33–C349
C33,PD-L1 immunohistochemistry,C33–C349
C340,"Histopathology, lung/bronchial biopsy",C33–C349
